iter	Passed	Remaining
226	1147	3906
227	1152	3901
228	1157	3895
229	1161	3889
230	1166	3884
231	1172	3880
232	1177	3876
233	1182	3870
234	1186	3862
235	1191	3856
236	1196	3853
237	1201	3848
238	1206	3840
239	1210	3834
240	1215	3828
241	1219	3820
242	1224	3814
243	1229	3809
244	1234	3804
245	1239	3798
246	1244	3793
247	1249	3789
248	1254	3783
249	1259	3779
250	1265	3775
251	1269	3769
252	1274	3764
253	1279	3758
254	1284	3752
255	1289	3747
256	1294	3742
257	1299	3736
258	1303	3729
259	1308	3723
260	1313	3719
261	1318	3713
262	1323	3708
263	1327	3702
264	1332	3696
265	1337	3691
266	1342	3686
267	1347	3681
268	1352	3676
269	1357	3671
270	1362	3665
271	1367	3659
272	1372	3654
273	1376	3648
274	1382	3643
275	1386	3638
276	1391	3633
277	1396	3627
278	1401	3622
279	1406	3617
280	1411	3612
281	1416	3607
282	1421	3602
283	1426	3597
284	1431	3592
285	1436	3586
286	1441	3581
287	1446	3576
288	1451	3570
289	1456	3565
290	1461	3560
291	1466	3555
292	1471	3549
293	1476	3544
294	1481	3539
295	1486	3534
296	1491	3529
297	1496	3524
298	1500	3518
299	1505	3513
300	1511	3508
301	1516	3504
302	1521	3500
303	1526	3495
304	1531	3490
305	1536	3485
306	1542	3482
307	1548	3478
308	1554	3475
309	1559	3471
310	1565	3467
311	1570	3463
312	1575	3459
313	1581	3455
314	1586	3450
315	1591	3444
316	1596	3439
317	1601	3434
318	1606	3429
319	1611	3423
320	1616	3418
321	1621	3413
322	1626	3409
323	1632	3405
324	1637	3400
325	1642	3395
326	1647	3390
327	1652	3385
328	1657	3380
329	1662	3374
330	1667	3369
331	1672	3364
332	1677	3359
333	1682	3355
334	1687	3350
335	1692	3344
336	1697	3339
337	1702	3333
338	1707	3328
339	1712	3323
340	1717	3318
341	1722	3313
342	1727	3308
343	1732	3303
344	1737	3298
345	1742	3293
346	1746	3287
347	1751	3282
348	1757	3277
349	1762	3273
350	1767	3268
351	1772	3263
352	1777	3257
353	1782	3253
354	1787	3248
355	1792	3242
356	1797	3237
357	1802	3232
358	1807	3227
359	1812	3221
360	1817	3216
361	1822	3211
362	1827	3206
363	1832	3201
364	1837	3196
365	1841	3190
366	1846	3185
367	1851	3180
368	1856	3175
369	1862	3171
370	1867	3166
371	1873	3162
372	1878	3157
373	1883	3152
374	1888	3147
375	1893	3141
376	1898	3136
377	1902	3130
378	1907	3125
379	1912	3120
380	1917	3115
381	1922	3110
382	1927	3104
383	1931	3099
384	1936	3093
385	1941	3088
386	1946	3082
387	1950	3076
388	1955	3071
389	1960	3066
390	1965	3061
391	1970	3056
392	1975	3050
393	1980	3045
394	1984	3040
395	1989	3035
396	1994	3029
397	1999	3025
398	2005	3020
399	2010	3015
400	2015	3010
401	2020	3005
402	2025	3000
403	2030	2995
404	2035	2990
405	2040	2985
406	2045	2980
407	2050	2975
408	2055	2970
409	2061	2966
410	2066	2961
411	2070	2955
412	2076	2950
413	2080	2945
414	2085	2940
415	2090	2935
416	2095	2929
417	2100	2924
418	2105	2919
419	2110	2914
420	2114	2908
421	2119	2903
422	2124	2898
